Date (YYYYMMDD), Description, Category, Value($), Balance (0) or Adjustment (1)
20230430, Monthly Interest Paid, Credit, 10.15, 1
20230430, Monthly Interest Paid, Credit, 4304.53, 0
20230502, Withdrawal to Checking XXXXX4369, Debit, -2000.0, 1
20230502, Withdrawal to Checking XXXXX4369, Debit, 2304.53, 0
20230503, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 1800.0, 1
20230503, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 4104.53, 0
20230509, Withdrawal to Checking XXXXX4369, Debit, -4101.0, 1
20230509, Withdrawal to Checking XXXXX4369, Debit, 3.53, 0
20230517, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 4600.0, 1
20230517, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 4603.53, 0
20230522, Withdrawal to Checking XXXXX4369, Debit, -200.0, 1
20230522, Withdrawal to Checking XXXXX4369, Debit, 2403.53, 0
20230522, Withdrawal to Checking XXXXX4369, Debit, -2000.0, 1
20230522, Withdrawal to Checking XXXXX4369, Debit, 2603.53, 0
20230525, Withdrawal to Checking XXXXX4369, Debit, -2200.0, 1
20230525, Withdrawal to Checking XXXXX4369, Debit, 203.53, 0
20230531, Monthly Interest Paid, Credit, 6.12, 1
20230531, Monthly Interest Paid, Credit, 209.65, 0
20230602, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2050.0, 1
20230602, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2259.65, 0
20230610, Withdrawal to Checking XXXXX4369, Debit, -2259.0, 1
20230610, Withdrawal to Checking XXXXX4369, Debit, 0.65, 0
20230621, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2500.0, 1
20230621, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2500.65, 0
20230629, Withdrawal to Checking XXXXX4369, Debit, -1400.0, 1
20230629, Withdrawal to Checking XXXXX4369, Debit, 1100.65, 0
20230630, Monthly Interest Paid, Credit, 4.69, 1
20230630, Monthly Interest Paid, Credit, 3305.34, 0
20230630, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2200.0, 1
20230630, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 3300.65, 0
20230704, Withdrawal to Checking XXXXX4369, Debit, -1200.0, 1
20230704, Withdrawal to Checking XXXXX4369, Debit, 1105.34, 0
20230704, Withdrawal to Checking XXXXX4369, Debit, -1000.0, 1
20230704, Withdrawal to Checking XXXXX4369, Debit, 2305.34, 0
20230717, Withdrawal to Checking XXXXX4369, Debit, -1100.0, 1
20230717, Withdrawal to Checking XXXXX4369, Debit, 5.34, 0
20230718, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2550.0, 1
20230718, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2555.34, 0
20230720, Withdrawal to Checking XXXXX4369, Debit, -1000.0, 1
20230720, Withdrawal to Checking XXXXX4369, Debit, 1555.34, 0
20230725, Withdrawal to Checking XXXXX4369, Debit, -1500.0, 1
20230725, Withdrawal to Checking XXXXX4369, Debit, 55.34, 0
20230731, Monthly Interest Paid, Credit, 4.21, 1
20230731, Monthly Interest Paid, Credit, 9.55, 0
20230731, Withdrawal to Checking XXXXX4369, Debit, -50.0, 1
20230731, Withdrawal to Checking XXXXX4369, Debit, 5.34, 0
20230813, Deposit from Checking XXXXX4369, Credit, 400.0, 1
20230813, Deposit from Checking XXXXX4369, Credit, 409.55, 0
20230816, Mom wedding gift  1 of 3 - Deposit from Checking XXXXX4369, Credit, 700.0, 1
20230816, Mom wedding gift  1 of 3 - Deposit from Checking XXXXX4369, Credit, 1109.55, 0
20230820, Deposit from Checking XXXXX4369, Credit, 600.0, 1
20230820, Deposit from Checking XXXXX4369, Credit, 1709.55, 0
20230822, Deposit from Checking XXXXX4369, Credit, 700.0, 1
20230822, Deposit from Checking XXXXX4369, Credit, 2409.55, 0
20230823, Withdrawal to Checking XXXXX4369, Debit, -500.0, 1
20230823, Withdrawal to Checking XXXXX4369, Debit, 1909.55, 0
20230829, Withdrawal to Checking XXXXX4369, Debit, -500.0, 1
20230829, Withdrawal to Checking XXXXX4369, Debit, 1409.55, 0
20230830, Withdrawal to Checking XXXXX4369, Debit, -200.0, 1
20230830, Withdrawal to Checking XXXXX4369, Debit, 609.55, 0
20230830, From Wedding - Withdrawal to Checking XXXXX4369, Debit, -600.0, 1
20230830, From Wedding - Withdrawal to Checking XXXXX4369, Debit, 809.55, 0
20230831, Monthly Interest Paid, Credit, 2.92, 1
20230831, Monthly Interest Paid, Credit, 212.47, 0
20230831, For movers - Withdrawal to Checking XXXXX4369, Debit, -400.0, 1
20230831, For movers - Withdrawal to Checking XXXXX4369, Debit, 209.55, 0
20230901, Withdrawal to Checking XXXXX4369, Debit, -212.0, 1
20230901, Withdrawal to Checking XXXXX4369, Debit, 0.47, 0
20231121, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2070.0, 1
20231121, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2070.47, 0
20231130, Monthly Interest Paid, Credit, 2.28, 1
20231130, Monthly Interest Paid, Credit, 1072.75, 0
20231130, Withdrawal to Checking XXXXX4369, Debit, -1000.0, 1
20231130, Withdrawal to Checking XXXXX4369, Debit, 1070.47, 0
20231201, Withdrawal to Checking XXXXX4369, Debit, -500.0, 1
20231201, Withdrawal to Checking XXXXX4369, Debit, 572.75, 0
20231202, Withdrawal to Checking XXXXX4369, Debit, -500.0, 1
20231202, Withdrawal to Checking XXXXX4369, Debit, 72.75, 0
20231221, Deposit from SCHWAB BROKERAGE MONEYLINK, Credit, 600.0, 1
20231221, Deposit from SCHWAB BROKERAGE MONEYLINK, Credit, 672.75, 0
20231231, Monthly Interest Paid, Credit, 1.09, 1
20231231, Monthly Interest Paid, Credit, 673.84, 0
20240105, Withdrawal to Checking XXXXX4369, Debit, -600.0, 1
20240105, Withdrawal to Checking XXXXX4369, Debit, 73.84, 0
20240126, Withdrawal to Checking XXXXX4369, Debit, -70.0, 1
20240126, Withdrawal to Checking XXXXX4369, Debit, 3.84, 0
20240129, Check Deposit (Mobile), Credit, 5000.0, 1
20240129, Check Deposit (Mobile), Credit, 5003.84, 0
20240130, Deposit from WIZARDS PAYOUT, Credit, 500.0, 1
20240130, Deposit from WIZARDS PAYOUT, Credit, 5503.84, 0
20240131, Monthly Interest Paid, Credit, 1.77, 1
20240131, Monthly Interest Paid, Credit, 5505.61, 0
20240210, Deposit from Checking XXXXX4369, Credit, 3000.0, 1
20240210, Deposit from Checking XXXXX4369, Credit, 7005.61, 0
20240210, Withdrawal to Checking XXXXX4369, Debit, -1500.0, 1
20240210, Withdrawal to Checking XXXXX4369, Debit, 4005.61, 0
20240215, Deposit from Checking XXXXX4369, Credit, 4000.0, 1
20240215, Deposit from Checking XXXXX4369, Credit, 11005.61, 0
20240221, Withdrawal to Checking XXXXX4369, Debit, -3000.0, 1
20240221, Withdrawal to Checking XXXXX4369, Debit, 7005.61, 0
20240221, Withdrawal to Checking XXXXX4369, Debit, -1000.0, 1
20240221, Withdrawal to Checking XXXXX4369, Debit, 10005.61, 0
20240222, Withdrawal to Checking XXXXX4369, Debit, -2000.0, 1
20240222, Withdrawal to Checking XXXXX4369, Debit, 5005.61, 0
20240229, Monthly Interest Paid, Credit, 22.8, 1
20240229, Monthly Interest Paid, Credit, 5028.41, 0
20240304, Withdrawal to Checking XXXXX4369, Debit, -4000.0, 1
20240304, Withdrawal to Checking XXXXX4369, Debit, 1028.41, 0
20240305, Withdrawal to Checking XXXXX4369, Debit, -800.0, 1
20240305, Withdrawal to Checking XXXXX4369, Debit, 228.41, 0
20240315, Deposit from Checking XXXXX4369, Credit, 6000.0, 1
20240315, Deposit from Checking XXXXX4369, Credit, 6228.41, 0
20240317, Withdrawal to Checking XXXXX4369, Debit, -200.0, 1
20240317, Withdrawal to Checking XXXXX4369, Debit, 6028.41, 0
20240322, Withdrawal to Checking XXXXX4369, Debit, -1000.0, 1
20240322, Withdrawal to Checking XXXXX4369, Debit, 5028.41, 0
