Date (YYYYMMDD), Description, Category, Value($), Balance (0) or Adjustment (1)
20240220, BEER CITY 3, Gas, -48.16, 1
20240220, TST* FOSKO COFFEE BARRE, Food & Drink, -23.03, 1
20240220, SQ *BAM COFFEE LLC, Food & Drink, -4.39, 1
20240221, RMV WATERTOWN, Bills & Utilities, -541.25, 1
20240221, DD *DOORDASH LEGALSEAF, Food & Drink, -134.06, 1
20240221, PENSACOLA NAS COMMISSARY, Groceries, -97.11, 1
20240221, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 31.09, 1
20240221, LYFT   *RIDE TUE 5PM, Travel, -31.09, 1
20240222, LABYRINTH GAMES ONLINE, Shopping, 287.99, 1
20240222, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 2.0, 1
20240222, CITY OF WALTHAM, Travel, -2.0, 1
20240223, SOMERVILLEMA PARKTICKET, Travel, -43.0, 1
20240223, UNCLE JIANG., Food & Drink, -19.83, 1
20240224, LA BARRA DEL TACO, Food & Drink, -17.54, 1
20240224, CL *Chase Travel, Travel, -124.6, 1
20240224, SQ *DE LUNA COFFEE INTERN, Shopping, -3.0, 1
20240224, CL *Chase Travel, Travel, -425.6, 1
20240224, SP TRINITY GAMES LLC, Entertainment, -20.0, 1
20240224, EVERMAN COOP GROCERY, Groceries, -12.93, 1
20240224, JETBLUE     2792146691846, Travel, -370.61, 1
20240224, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 116.64, 1
20240224, CL *Chase Travel, Travel, -482.6, 1
20240224, TARGET        00014415, Shopping, -11.15, 1
20240224, WHOLEFDS SMV #10511, Groceries, -21.63, 1
20240224, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 20.0, 1
20240224, E-ZPass MA, Travel, -20.0, 1
20240224, SQ *DERRYCK'S PASTRIES, Groceries, -5.52, 1
20240225, GAMERS N GEEKS LLC, Entertainment, -10.16, 1
20240225, GAMERS N GEEKS LLC, Entertainment, -35.86, 1
20240225, GAMERS N GEEKS LLC, Entertainment, -51.5, 1
20240225, EXXON CLARK'S #25, Gas, -32.8, 1
20240225, STARBUCKS STORE 11615, Food & Drink, -11.43, 1
20240225, MCDONALD'S F2325, Food & Drink, -2.3, 1
20240225, SQ *LUPITA'S MEXICAN FAST, Food & Drink, -22.04, 1
20240225, HANSCOM AFB COMM, Groceries, -70.8, 1
20240225, Subway 5937, Food & Drink, -14.3, 1
20240226, TST* EBI SUSHI, Food & Drink, -133.66, 1
20240226, BLUEBIK*2 RIDES, Travel, -2.44, 1
20240228, SONIC DRIVE IN #5504, Food & Drink, -12.98, 1
20240228, STARBUCKS STORE 71830, Food & Drink, -8.28, 1
20240229, JFK NEW STAND KIOSK, Shopping, -3.49, 1
20240229, STARBUCKS STORE 71830, Food & Drink, -8.28, 1
20240229, JFK T5 SC VELOCITY, Food & Drink, -23.2, 1
20240229, EL ASADOR, Food & Drink, -8.07, 1
20240229, SUPER.COM    HOTELS, Travel, -385.3, 1
20240302, GARDUNO'S RESTAURANT, Food & Drink, -55.24, 1
20240302, STARBUCKS STORE 09764, Food & Drink, -25.48, 1
20240302, METRO DISCOUNT AIRPORT PA, Travel, -36.54, 1
20240303, NATIVO LODGE, Travel, -64.59, 1
20240303, STARBUCKS STORE 71830, Food & Drink, -3.49, 1
20240303, SQ *BLACKBIRD COFFEE HOUS, Food & Drink, -10.36, 1
20240303, ALDI 82057 PENSACOLA, Groceries, -6.65, 1
20240303, XSOLLA *MTGARENA, Entertainment, -49.99, 1
20240303, TINY GROCER ABQ, Groceries, -14.95, 1
20240304, STARBUCKS STORE 71830, Food & Drink, -4.49, 1
20240304, NAVY EXCHANGE 060074, Shopping, -6.5, 1
20240304, SPIRIT AIRL 4870384007754, Travel, -74.0, 1
20240304, BLUEBIK*3 RIDES, Travel, -3.61, 1
20240304, TST* LOST PIZZA CO - PENS, Food & Drink, -22.48, 1
20240304, ALDI 82057 PENSACOLA, Groceries, -24.3, 1
20240304, Payment Thank You-Mobile, , 5214.85, 1
20240305, CIRCLE A, Gas, -50.52, 1
20240305, STARBUCKS STORE 71830, Food & Drink, -8.28, 1
20240305, WHOLEFDS SMV #10511, Groceries, -46.84, 1
20240305, AMERICAN AIR0012121753921, Travel, -198.6, 1
20240306, TST* ALDEN AND HARLOW - T, Food & Drink, -21.0, 1
20240306, FSP*AMERICANLUBEFAST, Automotive, -183.51, 1
20240307, TST* GRAN GUSTO- CAMBRIDG, Food & Drink, -45.3, 1
20240307, Tacos El Fluffy, Food & Drink, -21.37, 1
20240308, EVERMAN COOP GROCERY, Groceries, -81.97, 1
20240308, STARBUCKS STORE 08542, Food & Drink, -10.43, 1
20240308, SignUp *McGuiresStPatrick, Gifts & Donations, -48.7, 1
20240309, STARBUCKS STORE 11615, Food & Drink, -3.49, 1
20240309, PARKING-MUSEUM OF SCI, Travel, -19.0, 1
20240309, MUSEUM OF SCIENCE, Entertainment, -12.0, 1
20240309, CITY OF SOMERVILLE IPS, Travel, -1.3, 1
20240309, SQ *GULF COAST HOBBY  LLC, Shopping, -27.0, 1
20240309, MUSEUM OF SCIENCE, Entertainment, -29.0, 1
20240309, SQ *GULF COAST HOBBY  LLC, Shopping, -35.0, 1
20240309, PY *COFFEE GUY CAFE, Food & Drink, -4.28, 1
20240309, GAS N GO FOOD MART, Gas, -50.4, 1
20240310, WAL-MART #3484, Groceries, -36.73, 1
20240310, TARGET        00033050, Shopping, -31.86, 1
20240310, HANSCOM MAIN STORE(NEW), Shopping, -25.0, 1
20240310, HANSCOM AFB COMM, Groceries, -88.88, 1
20240310, CHINA FUN, Food & Drink, -9.39, 1
20240311, BLUEBIK*2 RIDES, Travel, -3.19, 1
20240128, Balance, Balance, 0.0, 0
20240129, Balance, Balance, 170.0, 0
20240212, Balance, Balance, 2600.0, 0
20240227, Balance, Balance, 5214.85, 0
20240301, Balance, Balance, 5600.15, 0
